Label,Ans
Right,program which mimics the problem-solving and decision-making capabilities of the human mind.
Wrong,I don't know.
Wrong,Not sure
Right,AI simulation of human intelligence processes by machines
Right,building smart machines capable of performing tasks that typically require human intelligence.
Right,Artificial intelligence(AI) is intelligence perceiving synthesizing and inferring information demonstrated by machines as opposed to intelligence displayed by non-human animals and humans.
Wrong,process of writing code to facilitate specific actions in a computer application or software program and instructs them on how to perform.
Right,Artificial intelligence leverages computers and machines to mimic the problem-solving and decision-making capabilities of the human mind.
Right,complex tasks that once required human input such as communicating with customers online or playing chess.
Wrong,AI is a storage that is used to store and organize data.
Wrong,I dont really know.
Right,Artificial intelligence (AI) is a set of technologies that enable computers to perform a variety of advanced functions including the ability to see understand and translate spoken and written language analyze data make recommendations and more.
Wrong,high-level general-purpose programming language.
Right,makes it possible for machines to learn from experience adjust to new inputs and perform human-like tasks.
Right,AI is the backbone of innovation in modern computing unlocking value for individuals and businesses by helping to automate processes and providing insights into large datasets.
Wrong,study of correct reasoning
Right,is the field of computer science dedicated to solving cognitive problems commonly associated with human intelligence
Wrong,I dont really know.
Right,machines to learn from experience
Wrong,a storage that is used to store information
Wrong, AI computr science human interaction
Wrong, same as computer networking
